id,car,year,itemtype,area,price,seller,buyer,created_at
1,BMW,2015,Auto Parts,Tel Aviv,100,user1@gmaul.com,user2@gmaul.com,20/06/2023 10:00
2,Toyota,2010,Auto Parts,Jerusalem,50,user2@gmaul.com,user3@gmaul.com,20/06/2023 10:00
3,Honda,2012,Auto Parts,Haifa,80,user3@gmaul.com,user3@gmaul.com,20/06/2023 10:00
4,Mercedes,2018,Auto Parts,Eilat,120,user4@gmaul.com,user4@gmaul.com,20/06/2023 10:00
5,Ford,2009,Auto Parts,Netanya,70,user5@gmaul.com,user5@gmaul.com,20/06/2023 10:00
6,Audi,2014,Auto Parts,Tel Aviv,90,user1@gmaul.com,user6@gmaul.com,20/06/2023 10:00
7,BMW,2013, Parts,Jerusalem,110,user7@gmaul.com,user1@gmaul.com,20/06/2023 10:00
8,Toyota,2016, Parts,Haifa,60,user8@gmaul.com,user1@gmaul.com,20/06/2023 10:00
9,Honda,2011, Parts,Eilat,85,user9@gmaul.com,user9@gmaul.com,20/06/2023 10:00
10,Mercedes,2019, Parts,Netanya,130,user10@gmaul.com,user10@gmaul.com,20/06/2023 10:00
11,Ford,2008, Parts,Tel Aviv,75,user1@gmaul.com,user2@gmaul.com,20/06/2023 10:00
12,Audi,2015, Parts,Jerusalem,95,user12@gmaul.com,user1@gmaul.com,20/06/2023 10:00
13,BMW,2014, Parts,Haifa,105,user13@gmaul.com,user3@gmaul.com,20/06/2023 10:00
14,Toyota,2017, Parts,Eilat,55,user1@gmaul.com,user4@gmaul.com,20/06/2023 10:00
15,Honda,2010, Parts,Netanya,95,user15@gmaul.com,user5@gmaul.com,20/06/2023 10:00
16,Mercedes,2020, Parts,Tel Aviv,150,user1@gmaul.com,user2@gmaul.com,20/06/2023 10:00
17,Ford,2007, Parts,Jerusalem,80,user17@gmaul.com,user7@gmaul.com,20/06/2023 10:00
18,Audi,2016, Parts,Haifa,100,user1@gmaul.com,user8@gmaul.com,20/06/2023 10:00
19,BMW,2013, Parts,Eilat,120,user19@gmaul.com,user1@gmaul.com,20/06/2023 10:00
20,Toyota,2018, Parts,Netanya,65,user20@gmaul.com,user10@gmaul.com,20/06/2023 10:00
